Region,Month,Accommodation & Food Services,Administrative & Support Services,"Agriculture, Forestry, Fishing & Hunting","Arts, Entertainment & Recreation",Construction & Utilities,Educational Services,Finance & Insurance,Healthcare & Social Assistance,Information,Management of Companies & Enterprises,Manufacturing,Mining,Other Services,"Professional, Scientific & Technical Services",Public Administration (Including Government),Real Estate & Rental & Leasing,Retail Trade,Transportation & Warehousing,Unclassified,Wholesale Trade
New York City,2019-01-01,10.8,14.79,NA,4.97,11.84,2.69,2.31,7.6,7.44,0.51,1.99,NA,1.96,5.26,4.94,2.53,7.38,8.26,2.09,2.63
New York City,2019-02-01,8.77,13.48,NA,2.95,8.74,5.15,1.96,7.72,6.37,NA,1.9,NA,1.76,4.61,3.15,1.83,6.13,22.22,1.15,2.1
New York City,2019-03-01,12.44,15.99,NA,3.9,12.44,2.39,2.75,8.99,7.62,0.71,2.44,NA,2.26,5.89,2.08,2.75,8.55,4.38,1.68,2.75
New York City,2019-04-01,7.62,12.98,NA,4.71,8,4.59,2.14,7.53,7,0.46,1.55,NA,1.77,4.87,4.03,2.08,6.14,21.29,1.15,2.11
New York City,2019-05-01,11.26,15.58,NA,4.91,10.67,2.94,2.48,9.16,9.66,0.59,1.72,NA,2.27,6.55,2.35,2.77,7.52,5.67,1.43,2.48
New York City,2019-06-01,10.82,15.28,NA,5.39,9.89,5.28,2.21,9.74,7.68,NA,1.71,NA,2.21,5.16,3.06,2.21,6.94,8.96,1.24,2.21
New York City,2019-07-01,9.05,13.9,NA,5.1,6.92,6.46,2.07,10.16,6.18,0.53,1.82,NA,2.32,4.91,2.59,2.66,6.43,15.6,1.3,2.01
New York City,2019-08-01,9.19,13.03,NA,5.31,7.15,5.46,2.23,9.19,6.14,NA,1.8,NA,2.3,4.49,1.97,2.69,6.14,19.68,1.29,1.94
New York City,2019-09-01,9.1,15.1,NA,5.65,11.73,3.62,2.8,9.97,8.15,0.56,1.86,NA,2.5,5.48,4.06,3.06,7.12,5.44,1.55,2.24
New York City,2019-10-01,10.91,16.3,NA,5.14,11.32,2.53,2.74,9.79,6.8,0.5,2.24,NA,2.7,5.47,5.1,2.99,6.64,4.94,1.7,2.2
New York City,2019-11-01,9,16.8,NA,5.12,15.04,1.98,2.72,9.83,7.2,0.55,2.17,NA,3.32,5.86,2.58,3.32,6.69,3.69,1.75,2.35
New York City,2019-12-01,9.02,13.29,NA,3.74,12.43,3.69,1.51,6,9.16,0.3,1.46,NA,1.54,3.6,4.76,2.04,4.76,19.94,1.24,1.51
New York City,2020-01-01,10.9,15.64,NA,4.91,13,2.3,2.44,8.26,7.85,0.41,1.86,NA,2.03,4.81,2.67,2.71,7.92,8.02,1.83,2.44
New York City,2020-02-01,7.67,13.97,NA,3.1,9.86,3.52,1.93,7.25,6.27,0.42,1.66,NA,1.63,4.14,2.81,1.73,6.27,24.25,1.5,2.02
New York City,2020-03-01,29.46,10.45,NA,4.87,6.02,1.88,0.62,8.93,3.67,0.34,2.72,NA,4.78,3.16,0.26,1.53,10.25,3.66,4.71,2.7
New York City,2020-04-01,15.68,9.06,0.02,2.86,7.27,1.84,0.65,10.52,4.75,0.61,2.55,0.01,5.57,3.37,0.35,1.47,13.59,4.82,11.7,3.32
New York City,2020-05-01,10.12,8.47,NA,2.3,4.19,2.91,0.83,12.74,3.41,0.48,1.58,NA,3.54,3.17,0.71,1.53,8.8,6.12,27.02,2.06
New York City,2020-06-01,10.12,9.31,NA,2.49,3.53,4.5,1.63,15.34,2.86,0.46,1.49,NA,3.33,3.83,1.08,1.6,8.69,3.83,23.87,2.04
New York City,2020-07-01,7.18,8.17,NA,2.16,3.38,4.6,1.09,12.66,2.44,0.35,1.34,NA,3.19,3.38,1.36,1.31,8.57,3.42,33.7,1.7
