Region,Month,Architecture &  Engineering,"Arts, Design, Entertainment, Sports & Media",Building & Grounds Cleaning & Maintenance,Business & Financial Operations,"Community & Social Service
",Computer & Mathematical,Construction & Extraction,"Education, Training & Library","Farming, Fishing & Forestry",Food Preparation & Serving Related,Healthcare Practitioners & Technical,Healthcare Support,"Installation, Maintenance & Repair",Legal,"Life, Physical & Social Science",Management,Military Specific,Not Available,Office & Administrative Support,Personal Care & Service,Production,Protective Service,Sales & Related,Transportation & Material Moving
New York City,2019-01-01,0.41,5.66,3.23,1.77,0.66,0.89,6.93,1.27,0.06,5.66,0.6,1.23,1.36,0.73,0.25,7.21,0.03,39.61,7.18,2.66,1.77,1.55,4.59,4.68
New York City,2019-02-01,0.4,4.98,2.39,1.72,1.01,0.84,5.25,1.65,NA,4.68,0.67,1.28,1.14,0.64,0.27,6.7,NA,37.98,6.46,3.06,1.62,1.62,3.64,11.99
New York City,2019-03-01,0.49,6.52,2.66,2.26,1.02,1.29,7.23,1.29,NA,6.52,0.71,1.55,1.42,0.8,0.35,8.74,NA,34.47,8.21,2.4,2.26,1.6,4.88,3.33
New York City,2019-04-01,0.31,5.18,1.74,2.08,0.81,0.87,4.84,1.55,NA,4.47,0.68,1.33,1.02,0.62,0.28,6.67,NA,38.57,6.54,3.22,1.52,1.95,3.66,12.09
New York City,2019-05-01,0.42,7.11,2.4,2.65,0.84,1.14,6.44,1.64,NA,6.19,0.63,1.73,1.26,0.76,0.34,8.04,NA,35.06,8.38,2.65,1.94,1.85,5.05,3.49
New York City,2019-06-01,0.31,6.17,1.93,2.08,1.08,0.85,5.79,3.7,NA,6.1,0.73,1.5,1.08,0.66,0.27,7.48,NA,35.34,7.25,3.36,1.7,2.39,4.24,5.98
New York City,2019-07-01,0.34,5.56,1.79,1.82,1.3,0.83,4.33,4.39,0.03,5.62,1.02,1.39,0.96,0.4,0.28,7.08,0.06,36.8,6.43,3.4,1.51,1.76,3.8,9.09
New York City,2019-08-01,0.36,5.79,1.93,1.72,0.89,0.89,4.29,2.54,NA,5.33,0.71,1.39,1.04,0.5,0.29,6.72,NA,38.03,6.58,3.75,1.47,1.72,3.68,10.4
New York City,2019-09-01,0.43,6.17,2.37,2.16,0.95,1.12,6.47,2.37,0.04,5.26,0.69,1.72,1.34,0.82,0.43,8.62,0.13,36.91,7.59,2.89,1.85,1.98,4.05,3.62
New York City,2019-10-01,0.42,5.4,3.03,2.12,1,1.16,6.15,1.41,0.04,5.81,0.75,1.66,1.37,0.62,0.42,7.97,0.08,38.87,7.52,2.49,1.87,2.2,4.32,3.32
New York City,2019-11-01,0.46,6.41,3.18,2.21,0.78,1.06,9.22,1.29,0.05,5.26,0.69,1.57,1.8,0.69,0.28,8.11,0.09,36.01,8.16,2.35,2.03,1.61,3.83,2.86
New York City,2019-12-01,0.33,5.78,1.93,1.38,0.69,0.66,8.14,1.82,0.06,5.34,0.5,1.07,1.4,0.44,0.19,5.2,0.06,38.61,5.09,3.22,1.65,2.01,2.94,11.52
New York City,2020-01-01,0.54,5.55,2.88,1.83,0.88,1.05,7.68,1.15,0.07,5.89,0.71,1.35,1.62,0.47,0.27,7.75,0.07,37.18,7.48,2.98,1.86,1.62,4.6,4.53
New York City,2020-02-01,0.33,5,2.09,1.63,0.82,0.85,6.24,1.54,NA,4.38,0.52,1.34,1.24,0.52,0.29,6.54,NA,38.12,5.88,3.01,1.6,1.63,3.73,12.68
New York City,2020-03-01,0.46,3.96,3.5,1.29,0.47,0.38,4.09,2.22,0.03,16.99,1.71,2.18,1.74,0.43,0.19,7.74,0.08,23.82,9.52,4.81,2.76,1.08,7.11,3.43
New York City,2020-04-01,0.5,2.89,2.75,1.22,0.58,0.37,4.62,1.57,0.03,9.12,1.3,3.04,2,0.32,0.2,6.6,0.08,31.63,8.62,5.53,2.83,1.24,8.73,4.21
New York City,2020-05-01,0.23,1.2,1.56,0.69,0.46,0.29,1.5,1.18,0.02,3.7,0.76,2.38,0.79,0.16,0.13,2.84,0.06,66.88,4.31,3.01,1.05,0.74,3.08,2.98
New York City,2020-06-01,0.4,2.31,2.47,1.23,0.93,0.44,2.3,2.73,0.03,5.92,1.51,3.59,1.21,0.29,0.2,6.95,0.11,44.71,6.11,5.08,1.53,1.21,5.27,3.43
New York City,2020-07-01,0.32,1.97,2.39,1.04,0.85,0.4,2.43,2.65,0.03,4.78,1.07,2.63,1.11,0.25,0.17,4.43,0.07,51.77,5.49,5.11,1.45,1.05,5.12,3.42
New York City,2020-08-01,0.35,2.11,2.42,1.03,0.72,0.36,3.21,1.64,0.03,5.55,1.01,2.53,1.33,0.27,0.18,4.49,0.11,49.61,5.28,5.51,1.49,1.16,5.59,4.01
New York City,2020-09-01,0.28,1.71,2.46,0.87,0.56,0.27,2.75,1.15,0.03,4.68,0.7,1.82,1.25,0.19,0.13,3.99,0.06,56.98,4.06,5.59,1.29,0.88,4.99,3.3
