date,subways_total_estimated,subways_of_comparable_pre,buses_total_estimated,buses_of_comparable_pre,lirr_total_estimated_ridership,lirr_of_2019_monthly_weekday,metro_north_total_estimated,metro_north_of_2019_monthly,access_a_ride_total_scheduled,access_a_ride_of_comprable,bridges_and_tunnels_total,bridges_and_tunnels_of
2022-07-24,2682251,0.5917142857142857,1115310.857142857,0.5992857142857143,150514.2857142857,0.68,127585.71428571429,0.6514285714285715,NA,NA,936765,0.9655714285714285
2022-07-23,2694250.8571428573,0.6081428571428572,1128639.142857143,0.6192857142857143,150414.2857142857,0.68,129285.71428571429,0.6728571428571428,NA,NA,935564.1428571428,0.9764285714285713
2022-07-22,2703787.8571428573,0.6262857142857143,1135427.2857142857,0.6328571428571429,150771.42857142858,0.6828571428571428,131000,0.6914285714285714,21503,0.881,934678.7142857143,0.9842857142857142
2022-07-21,2715279.4285714286,0.6301428571428572,1147065.142857143,0.638,150300,0.6814285714285714,132542.85714285713,0.6971428571428572,21538.85714285714,0.8852857142857142,934842.4285714285,0.9857142857142857
2022-07-20,2728851.714285714,0.6347142857142858,1158281.2857142857,0.6478571428571429,150542.85714285713,0.6828571428571428,133857.14285714287,0.7014285714285714,21682.285714285714,0.8917142857142857,938208.2857142857,0.9941428571428571
2022-07-19,2734441.1428571427,0.6374285714285713,1161510.4285714286,0.6522857142857144,150214.2857142857,0.6814285714285714,135171.42857142858,0.7057142857142857,21712.285714285714,0.8921428571428571,938066.8571428572,0.9987142857142857
2022-07-18,2731556.714285714,0.6328571428571428,1159775.2857142857,0.6454285714285716,150142.85714285713,0.68,135771.42857142858,0.7071428571428572,21678.571428571428,0.8871428571428571,935315.2857142857,0.9895714285714285
2022-07-17,2754051.4285714286,0.6335714285714287,1175250.4285714286,0.6485714285714287,150900,0.6828571428571428,137957.14285714287,0.7157142857142857,21762.14285714286,0.8871428571428571,940494.5714285715,0.9897142857142857
2022-07-16,2755220.8571428573,0.6225714285714287,1176277.142857143,0.641,150942.85714285713,0.6828571428571428,136671.42857142858,0.7000000000000001,21802,0.8714285714285714,943458.7142857143,0.9811428571428571
2022-07-15,2751045,0.6068571428571429,1180144.7142857143,0.6315714285714286,149657.14285714287,0.6714285714285714,135471.42857142858,0.6871428571428572,21704.85714285714,0.8477142857142858,940337.7142857143,0.9678571428571427
2022-07-14,2734023.8571428573,0.6008571428571429,1174592.7142857143,0.6294285714285716,148528.57142857142,0.6685714285714286,133428.57142857142,0.68,21695,0.84371428571428575,933958.5714285715,0.963
2022-07-13,2721539.714285714,0.5974285714285715,1171724.5714285714,0.6264285714285716,148328.57142857142,0.6671428571428571,132214.2857142857,0.6757142857142857,21667.428571428572,0.8401428571428571,929488.8571428572,0.9594285714285713
2022-07-12,2698256.4285714286,0.591857142857143,1167053,0.6214285714285716,147642.85714285713,0.6657142857142857,130400,0.6685714285714286,21606.285714285714,0.84,925716.7142857143,0.9537142857142857
2022-07-11,2648780.285714286,0.584,1152310.4285714286,0.6144285714285714,146185.7142857143,0.6614285714285714,128357.14285714286,0.6614285714285715,21335.285714285714,0.8317142857142857,927535.5714285715,0.9565714285714285
