as_of_date,patients_currently_in_icu,patients_currently_icu_intubated
2022-06-24,93,39.714285714285715
2022-06-23,93.42857142857143,39.142857142857146
2022-06-22,94.42857142857143,38.857142857142854
2022-06-21,94.28571428571429,37
2022-06-17,94,35.285714285714285
2022-06-16,92.57142857142857,36.42857142857143
2022-06-15,92.42857142857143,36.714285714285715
2022-06-14,91.71428571428571,36.285714285714285
2022-06-13,89.57142857142857,36.285714285714285
2022-06-10,87.28571428571429,35.57142857142857
2022-06-09,84.57142857142857,35.42857142857143
2022-06-08,81.28571428571429,34.857142857142854
2022-06-07,79.42857142857143,33.42857142857143
2022-06-06,78.14285714285714,32.57142857142857
2022-06-05,78.71428571428571,32.42857142857143
2022-06-04,79.57142857142857,32
2022-06-03,80.85714285714286,31.571428571428573
2022-06-02,82.57142857142857,32.142857142857146
2022-06-01,84.71428571428571,32
2022-05-31,86.71428571428571,32.285714285714285
2022-05-27,87.42857142857143,32.857142857142854
2022-05-26,88.28571428571429,33
2022-05-25,87.71428571428571,32.714285714285715
2022-05-24,87.42857142857143,33.42857142857143
2022-05-23,86.57142857142857,33
2022-05-22,85.57142857142857,33
2022-05-21,84.28571428571429,32.714285714285715
2022-05-20,84,32.285714285714285
2022-05-19,82.14285714285714,32
2022-05-18,82.28571428571429,32.714285714285715
2022-05-17,80.57142857142857,32.857142857142854
2022-05-16,79,33.857142857142854
2022-05-15,76.85714285714286,34.142857142857146
2022-05-14,74.85714285714286,34
2022-05-13,72.28571428571429,33.714285714285715
2022-05-12,69.28571428571429,33.142857142857146
2022-05-11,64.71428571428571,31.714285714285715
2022-05-10,61.42857142857143,29.857142857142858
2022-05-09,58.285714285714285,27.571428571428573
2022-05-08,57.285714285714285,26.285714285714285
2022-05-07,57.142857142857146,25.285714285714285
2022-05-06,56.142857142857146,24.285714285714285
2022-05-05,55.714285714285715,23.714285714285715
2022-05-04,56.714285714285715,23.428571428571427
2022-05-03,57.285714285714285,23.571428571428573
2022-05-02,58,23.428571428571427
2022-05-01,58.142857142857146,23
2022-04-30,58.42857142857143,23
2022-04-29,59,23.285714285714285
2022-04-28,58.57142857142857,23.428571428571427
2022-04-27,58,23.571428571428573
2022-04-26,57.57142857142857,23.285714285714285
2022-04-25,57.42857142857143,23.714285714285715
2022-04-24,56.42857142857143,24.142857142857142
2022-04-23,54.857142857142854,24.714285714285715
2022-04-22,54.285714285714285,25.857142857142858
2022-04-21,53.857142857142854,26.428571428571427
2022-04-20,53,27.142857142857142
