date,BRONX,KINGS,NEW YORK,QUEENS,RICHMOND
2019-01-05,22.66,32.65,13.66,23.15,7.88
2019-01-12,19.52,31.33,20.48,23.49,5.18
2019-01-19,19.15,31.33,20.57,24.21,4.75
2019-01-26,19.57,31.7,19.2,24.46,5.07
2019-02-02,19.94,30.82,19.49,24.47,5.29
2019-02-09,18.26,32.57,21.05,23.52,4.61
2019-02-16,18.81,31.83,20.8,23.87,4.7
2019-02-23,19.55,31.84,20.11,23.46,5.03
2019-03-02,24.24,32.78,12.31,23.45,7.22
2019-03-09,19.14,30.86,19.89,24.72,5.39
2019-03-16,20.11,31.23,20.11,23.95,4.6
2019-03-23,20,30.77,21.15,23.27,4.81
2019-03-30,20.99,30.53,21.18,23.28,4.01
2019-04-06,19.32,30.3,22.16,23.48,4.73
2019-04-13,19.8,30.78,21.96,22.94,4.51
2019-04-20,19.13,31.25,21.59,23.67,4.36
2019-04-27,21.99,29.97,19.13,23.34,5.57
2019-05-04,24.28,32.58,12.25,22.82,8.07
2019-05-11,19.18,31.47,19.55,25.51,4.28
2019-05-18,19.92,31.16,20.32,23.47,5.13
2019-05-25,20.42,30.62,20.79,23.63,4.54
2019-06-01,23.38,28.9,21.48,22.05,4.18
2019-06-08,19.25,30.49,21.81,23.85,4.6
2019-06-15,22.51,29.67,20.94,20.94,5.93
2019-06-22,21.53,29.55,21.53,22.5,4.89
2019-06-29,21.85,31.46,19.21,21.69,5.79
2019-07-06,22.69,32.64,15.96,22.07,6.63
2019-07-13,23.74,31.89,16.92,20.81,6.64
2019-07-20,22.74,30.5,20.89,21.63,4.25
2019-07-27,20.38,31.43,20.95,22.86,4.38
2019-08-03,22.54,29.55,21.97,21.4,4.55
2019-08-10,20.66,31.26,20.84,22.85,4.39
2019-08-17,23.14,30.21,20.67,21.55,4.42
2019-08-24,23.61,31.56,14.53,24.97,5.33
2019-08-31,23.89,31.01,18.1,22.26,4.75
2019-09-07,20.7,30.37,21.28,23.4,4.26
2019-09-14,19.62,31.77,20.66,23.44,4.51
2019-09-21,22.56,30.28,19.92,22.15,5.08
2019-09-28,20.52,30.58,21.13,23.14,4.63
2019-10-05,22.95,29.85,20.52,22.01,4.66
2019-10-12,20.09,30.61,19.15,24.8,5.34
2019-10-19,21.89,29.43,20.75,22.45,5.47
2019-10-26,20.63,31.24,20.43,22.79,4.91
2019-11-02,23.95,28.94,20.56,22.16,4.39
2019-11-09,20.56,30.31,21.08,23.34,4.7
2019-11-16,20.38,30.67,20.57,22.86,5.52
2019-11-23,20.4,30.7,20.22,23.16,5.51
2019-11-30,20.34,30.19,20.13,23.55,5.78
2019-12-07,19.49,30.36,19.03,24.77,6.34
2019-12-14,21.12,31.27,18.73,24.1,4.78
2019-12-21,20.35,29.65,19.57,24.42,6.01
2019-12-28,21.11,29.56,18.24,23.82,7.26
2020-01-04,23.06,31.6,13.42,23.49,8.42
2020-01-11,21,29.79,19.54,24.3,5.37
2020-01-18,20.62,30.27,20.18,24.48,4.45
