Day of Week,date,subways_of_comparable_pre,7-day Average,Subway Mobility Index Original,Subway Mobility Index,Avg. Ridership,subways_total_estimated
1,2022-03-19,66.3,59.91428571,6091.428571,100,2817204.286,2003889
2,2022-03-18,59.7,60.2,6120,100,2824799.143,3281721
3,2022-03-17,57.2,60.42857143,6142.857143,100,2819128.143,3182552
4,2022-03-16,58.7,60.61428571,6161.428571,100,2827289.143,3339344
5,2022-03-15,58.2,60.68571429,6168.571429,100,2827174.286,3283193
6,2022-03-14,55.9,60.65714286,6165.714286,100,2823472.857,3015216
7,2022-03-13,61.3,59.61428571,6061.428571,100,2798120.714,1480930
1,2022-03-12,52.3,57.61428571,5861.428571,100,2749799.571,1665641
2,2022-03-11,56.8,57.2,5820,100,2738426,3202106
3,2022-03-10,57.6,57.25714286,5825.714286,100,2761815.286,3346277
4,2022-03-09,54,56.58571429,5758.571429,100,2730446,3119759
5,2022-03-08,56.5,56.34285714,5734.285714,100,2725903.571,3251396
6,2022-03-07,53.7,56.02857143,5702.857143,100,2721884.286,2987081
7,2022-03-06,64.4,56.47142857,5747.142857,100,2716901.571,1446051
1,2022-03-05,68.7,58.81428571,5981.428571,100,2758617.286,1957651
2,2022-03-04,55.9,58.68571429,5968.571429,100,2741651.286,3083344
3,2022-03-03,56.5,58.52857143,5952.857143,100,2722778.714,3214169
4,2022-03-02,57.2,58.98571429,5998.571429,100,2736362.571,3214846
5,2022-03-01,56.4,58.97142857,5997.142857,100,2721139.714,3144836
6,2022-02-28,54,59.01428571,6001.428571,100,2711836.143,2921956
7,2022-02-27,61.7,58.62857143,5962.857143,100,2705936,1404750
1,2022-02-26,62.5,57.74285714,5874.285714,100,2687249.429,1826845
2,2022-02-25,49.9,56.88571429,5788.571429,100,2615368,2580174
3,2022-02-24,53.4,56.44285714,5744.285714,100,2565347.429,2864025
4,2022-02-23,54.1,56,5700,100,2520421,2900361
5,2022-02-22,51.9,55.35714286,5635.714286,100,2453340.857,2675275
6,2022-02-21,60.7,56.31428571,5731.428571,100,2313782.571,1945048
7,2022-02-20,64.9,56.77142857,5777.142857,100,2324338.571,1478642
1,2022-02-19,61.4,56.61428571,5761.428571,100,2319681.286,1794244
2,2022-02-18,53.4,57.11428571,5811.428571,100,2373865.286,2959462
3,2022-02-17,54.9,57.32857143,5832.857143,100,2409930.714,3116483
4,2022-02-16,55.7,57.55714286,5855.714286,100,2439447.143,3106976
5,2022-02-15,54.1,57.87142857,5887.142857,100,2491149.143,3037189
6,2022-02-14,54,56.91428571,5791.428571,100,2629517.714,2913628
7,2022-02-13,57.9,55.91428571,5691.428571,100,2611309.714,1351186
1,2022-02-12,72.9,57.55714286,5855.714286,100,2644789.571,2028603
2,2022-02-11,54.5,57.71428571,5871.428571,100,2653586.714,3021042
3,2022-02-10,54.9,57.71428571,5871.428571,100,2653925,3118851
4,2022-02-09,55.5,57.68571429,5868.571429,100,2652224.429,3095072
5,2022-02-08,53.9,57.65714286,5865.714286,100,2650183.429,3022902
6,2022-02-07,51.7,57.32857143,5832.857143,100,2632513.857,2789941
7,2022-02-06,58.8,57.45714286,5845.714286,100,2628813,1325280
1,2022-02-05,60.3,55.65714286,5665.714286,100,2595386.143,1794615
2,2022-02-04,49.4,54.92857143,5592.857143,100,2553922.571,2730797
3,2022-02-03,51.6,54.45714286,5545.714286,100,2525507.857,2919948
4,2022-02-02,51.9,53.94285714,5494.285714,100,2504209.286,2945982
5,2022-02-01,47.2,52.98571429,5398.571429,100,2449519.857,2640076
6,2022-01-31,47.9,52.44285714,5344.285714,100,2419632.571,2580730
7,2022-01-30,56.5,52.11428571,5311.428571,100,2410836.857,1263710
1,2022-01-29,34.8,48.47142857,4947.142857,100,2297348.857,1000199
2,2022-01-28,50.1,48.57142857,4957.142857,100,2294148.857,2708397
3,2022-01-27,48.4,48.11428571,4911.428571,100,2267049.143,2730250
4,2022-01-26,48.2,47.58571429,4858.571429,100,2234337.429,2717000
5,2022-01-25,48.5,47.77142857,4877.142857,100,2243879.571,2706871
6,2022-01-24,48.4,47.84285714,4884.285714,100,2238348.857,2542015
7,2022-01-23,53.5,47.41428571,4841.428571,100,2235956.143,1246961
1,2022-01-22,60.9,51.14285714,5214.285714,100,2319540.857,1585292
2,2022-01-21,48.1,50.85714286,5185.714286,100,2299845.429,2570529
3,2022-01-20,46.8,50.62857143,5162.857143,100,2274169.286,2550517
4,2022-01-19,48.8,50.71428571,5171.428571,100,2264273.143,2647727
5,2022-01-18,47.9,50.62857143,5162.857143,100,2241352.286,2546425
6,2022-01-17,50.2,50.88571429,5188.571429,100,2107098.429,1602238
7,2022-01-16,51.1,50.54285714,5154.285714,100,2095642,1166766
1,2022-01-15,55.4,49.75714286,5075.714286,100,2074332.429,1436125
2,2022-01-14,47.3,49.64285714,5064.285714,100,2068220.571,2527746
3,2022-01-13,45.8,49.5,5050,100,2065193.714,2529329
4,2022-01-12,44.7,48.91428571,4991.428571,100,2038982.429,2464248
5,2022-01-11,41.9,48.05714286,4905.714286,100,1999640.714,2271033
6,2022-01-10,45.1,47.32857143,4832.857143,100,2106789.143,2352277
7,2022-01-09,48.2,46.91428571,4791.428571,100,2097777.143,1103682
1,2022-01-08,49.5,46.07142857,4707.142857,100,2105150.286,1487737
2,2022-01-07,39,44.88571429,4588.571429,100,2047696.429,2125569
3,2022-01-06,43.8,44.6,4560,100,2028661.571,2396085
4,2022-01-05,41.8,44.18571429,4518.571429,100,2001283.429,2272601
5,2022-01-04,42.4,44.25714286,4525.714286,100,2004585.429,2294147
6,2022-01-03,41.4,43.72857143,4472.857143,100,1978937.857,2172744
7,2022-01-02,53.7,44.51428571,4551.428571,100,1995741.286,1221306
1,2022-01-01,44.5,43.8,4480,100,1930233.143,1029180
2,2021-12-31,52.2,45.68571429,4668.571429,100,1859417.429,1629859
3,2021-12-30,50.9,46.7,4770,100,1831742.286,2202359
4,2021-12-29,50.1,47.88571429,4888.571429,100,1817238.286,2171073
5,2021-12-28,50.2,49,5000,100,1799901.714,2172791
6,2021-12-27,46.5,49.72857143,5072.857143,100,1776891.857,2011675
7,2021-12-26,51,49.34285714,5034.285714,100,1786203,1286484
1,2021-12-25,46.6,49.64285714,5064.285714,100,1755169.429,811945
2,2021-12-24,43.2,48.35714286,4935.714286,100,1747723.571,1577738
3,2021-12-23,52.5,48.58571429,4958.571429,100,1789027.857,2491489
4,2021-12-22,55.6,49.37142857,5037.142857,100,1856040.143,2640159
5,2021-12-21,57,50.34285714,5134.285714,100,1931798.143,2703097
6,2021-12-20,57.4,51.9,5290,100,2033334.571,2722430
