region,date,isoweek,total_claims,date_2019,total_claims_2019,rolling_avg_claims,pct_change_19_now,Unemployment Claims Index Original,Unemployment Claims Index
New York City,2022-05-21,20,5040,2019-05-18,5070,5243.333333,-0.0387794023546585,104.03439152777776,100
New York City,2022-05-14,19,5870,2019-05-11,5370,8023.333333,-0.26838388031858673,136.68370243611582,100
New York City,2022-05-07,18,5970,2019-05-04,13630,8546.666667,-0.3014820593096145,143.16024567839193,100
New York City,2022-04-30,17,12280,2019-04-27,6640,8516.666667,0.44187866921949603,69.35396308631921,69.35396308631921
New York City,2022-04-23,16,5630,2019-04-20,5280,5673.333333,-0.007638072797158451,100.76968619893427,100
New York City,2022-04-16,15,4840,2019-04-13,5100,5220,-0.07279693486590039,107.85123966942147,100
New York City,2022-04-09,14,5810,2019-04-06,5280,5206.666667,0.11587708059437397,89.61560528399312,89.61560528399312
New York City,2022-04-02,13,5120,2019-03-30,5240,5240,-0.022900763358778626,102.34375,100
New York City,2022-03-26,12,5560,2019-03-23,5200,5220,0.06513409961685823,93.88489208633094,93.88489208633094
New York City,2022-03-19,11,5280,2019-03-16,5220,5266.666667,0.002531645506168804,99.74747475378788,99.74747475378788
New York City,2022-03-12,10,5390,2019-03-09,5380,7783.333333,-0.3074946466512845,144.40321582560293,100
New York City,2022-03-05,9,12830,2019-03-02,12750,7833.333333,0.6378723404952287,61.054819431021045,61.054819431021045
New York City,2022-02-26,8,5320,2019-02-23,5370,7883.333333,-0.32515856233933016,148.18295738721804,100
New York City,2022-02-19,7,5410,2019-02-16,5530,5660,-0.044169611307420496,104.6210720887246,100
New York City,2022-02-12,6,6370,2019-02-09,6080,6076.666667,0.048272078933172057,95.39508111459969,95.39508111459969
New York City,2022-02-05,5,6590,2019-02-02,6620,6073.333333,0.08507135022420816,92.15983813353566,92.15983813353566
New York City,2022-01-29,4,6830,2019-01-26,5520,6153.333333,0.10996749735156928,90.09272815519765,90.09272815519765
New York City,2022-01-22,3,6790,2019-01-19,6320,6713.333333,0.011420059633139093,98.87088855670103,98.87088855670103
New York City,2022-01-15,2,8720,2019-01-12,8300,10243.33333,-0.14871461085216872,117.46941892201835,100
New York City,2022-01-08,1,15340,2019-01-05,16110,10110,0.5173095944609297,65.90612777053455,65.90612777053455
New York City,2022-01-01,52,8810,2019-12-28,5920,9063.333333,-0.027951452704227765,102.87552023836551,100
New York City,2021-12-25,51,6260,2019-12-21,5160,5366.666667,0.16645962725674154,85.72949947284346,85.72949947284346
New York City,2021-12-18,50,4800,2019-12-14,5020,5600,-0.14285714285714285,116.66666666666666,100
New York City,2021-12-11,49,4720,2019-12-07,6620,5436.666667,-0.1318209687840699,115.1836158262712,100
New York City,2021-12-04,48,6060,2019-11-30,4670,5576.666667,0.08667065145925451,92.02420242574259,92.02420242574259
New York City,2021-11-27,47,3930,2019-11-23,5440,5120,-0.232421875,130.27989821882952,100
New York City,2021-11-20,46,5000,2019-11-16,5250,5476.666667,-0.0870359099764434,109.53333334000001,100
New York City,2021-11-13,45,4860,2019-11-09,5740,5333.333333,-0.0887499999430468,109.73936899176955,100
New York City,2021-11-06,44,4950,2019-11-02,5010,5280,-0.0625,106.66666666666667,100
New York City,2021-10-30,43,4900,2019-10-26,5090,5133.333333,-0.045454545392561906,104.76190475510204,100
New York City,2021-10-23,42,5310,2019-10-19,5300,5586.666667,-0.04952267308773738,105.21029504708099,100
New York City,2021-10-16,41,5370,2019-10-12,6370,5676.666667,-0.05402231361984609,105.71073867783984,100
New York City,2021-10-09,40,6230,2019-10-05,5360,5566.666667,0.11916167657969083,89.35259497592295,89.35259497592295
New York City,2021-10-02,39,6280,2019-09-28,4970,5083.333333,0.23540983614658434,80.94479829617835,80.94479829617835
New York City,2021-09-25,38,6990,2019-09-21,4920,5216.666667,0.3399361021508027,74.63042442060086,74.63042442060086
New York City,2021-09-18,37,6220,2019-09-14,5760,5283.333333,0.17728706632033367,84.94105036977491,84.94105036977491
New York City,2021-09-11,36,7910,2019-09-07,5170,5890,0.34295415959252973,74.46270543615677,74.46270543615677
New York City,2021-09-04,35,6770,2019-08-31,6740,6906.666667,-0.019787644834952392,102.01871,100
New York City,2021-08-28,34,8790,2019-08-24,8810,7070,0.24328147100424327,80.43230944254834,80.43230944254834
New York City,2021-08-21,33,6210,2019-08-17,5660,6646.666667,-0.06569709132067723,107.03166935587763,100
New York City,2021-08-14,32,6090,2019-08-10,5470,5470,0.113345521023766,89.81937602627256,89.81937602627256
New York City,2021-08-07,31,6340,2019-08-03,5280,5333.333333,0.18875000007429696,84.12197686119873,84.12197686119873
New York City,2021-07-31,30,7750,2019-07-27,5250,5313.333333,0.4585947303298994,68.55913978064517,68.55913978064517
New York City,2021-07-24,29,8290,2019-07-20,5410,7316.666667,0.1330296127046455,88.25894652593487,88.25894652593487
New York City,2021-07-17,28,9950,2019-07-13,11290,8783.333333,0.13282732452116985,88.2747068643216,88.2747068643216
