Day of Week,date,7-day Average,OpenTable YoY Seated Diner Data (%),Restaurant Reservations Index Original,Restaurant Reservations Index
7,2022-05-14,-39.582857142857144,NA,60.417142857142856,60.417142857142856
6,2022-05-13,-40.228571428571435,NA,59.771428571428565,59.771428571428565
5,2022-05-12,-40.855714285714285,NA,59.144285714285715,59.144285714285715
4,2022-05-11,-39.60285714285714,NA,60.39714285714286,60.39714285714286
3,2022-05-10,-39.44714285714286,NA,60.55285714285714,60.55285714285714
2,2022-05-09,-39.67857142857143,NA,60.32142857142857,60.32142857142857
1,2022-05-08,-40.06857142857143,NA,59.93142857142857,59.93142857142857
7,2022-05-07,-40.55285714285714,NA,59.44714285714286,59.44714285714286
6,2022-05-06,-39.529999999999994,NA,60.470000000000006,60.470000000000006
5,2022-05-05,-38.81857142857143,NA,61.18142857142857,61.18142857142857
4,2022-05-04,-40.35285714285715,NA,59.64714285714285,59.64714285714285
3,2022-05-03,-40.222857142857144,NA,59.777142857142856,59.777142857142856
2,2022-05-02,-40.38142857142857,NA,59.61857142857143,59.61857142857143
1,2022-05-01,-40.88714285714286,NA,59.11285714285714,59.11285714285714
7,2022-04-30,-41.13142857142857,NA,58.86857142857143,58.86857142857143
6,2022-04-29,-41.082857142857144,NA,58.917142857142856,58.917142857142856
5,2022-04-28,-39.63142857142857,NA,60.36857142857143,60.36857142857143
4,2022-04-27,-39.09142857142857,NA,60.90857142857143,60.90857142857143
3,2022-04-26,-38.90857142857143,NA,61.09142857142857,61.09142857142857
2,2022-04-25,-39.33857142857143,NA,60.66142857142857,60.66142857142857
1,2022-04-24,-38.167142857142856,NA,61.832857142857144,61.832857142857144
7,2022-04-23,-38.49571428571428,NA,61.50428571428572,61.50428571428572
6,2022-04-22,-37.66285714285714,NA,62.33714285714286,62.33714285714286
5,2022-04-21,-38.1,NA,61.9,61.9
4,2022-04-20,-38.205714285714286,NA,61.794285714285714,61.794285714285714
3,2022-04-19,-38.35,NA,61.65,61.65
2,2022-04-18,-37.67714285714286,NA,62.32285714285714,62.32285714285714
