Week Ending,Number of Pending Sales,iso_week,three_week_2019_rolling_average,Home Sales Index Original,Home Sales Index,Date
2022-03-20,706,11,426,165.7276995,100,2022-03-19
2022-03-13,710,10,400.6666667,177.2046589,100,2022-03-12
2022-03-06,710,9,378,187.8306878,100,2022-03-05
2022-02-27,589,8,371,158.7601078,100,2022-02-26
2022-02-20,669,7,366.3333333,182.6205642,100,2022-02-19
2022-02-13,604,6,368.3333333,163.9819005,100,2022-02-12
2022-02-06,577,5,335,172.238806,100,2022-02-05
2022-01-30,491,4,328.3333333,149.5431472,100,2022-01-29
2022-01-23,437,3,292.6666667,149.3166287,100,2022-01-22
2022-01-16,487,2,287.3333333,169.4895592,100,2022-01-15
2022-01-09,479,1,249.6666667,191.8558077,100,2022-01-08
2022-01-02,388,52,271.75,142.7782889,100,2022-01-01
2021-12-26,420,51,317.3333333,132.3529412,100,2021-12-25
2021-12-19,526,50,370.3333333,142.0342034,100,2021-12-18
2021-12-12,586,49,339.6666667,172.5220805,100,2021-12-11
2021-12-05,585,48,351.3333333,166.5085389,100,2021-12-04
2021-11-28,409,47,367.6666667,111.2420671,100,2021-11-27
2021-11-21,706,46,423,166.9030733,100,2021-11-20
2021-11-14,647,45,428,151.1682243,100,2021-11-13
2021-11-07,685,44,429,159.6736597,100,2021-11-06
2021-10-31,645,43,407.6666667,158.2174979,100,2021-10-30
2021-10-24,679,42,377.3333333,179.9469965,100,2021-10-23
2021-10-17,601,41,361,166.4819945,100,2021-10-16
2021-10-10,642,40,370,173.5135135,100,2021-10-09
2021-10-03,602,39,361.3333333,166.6051661,100,2021-10-02
2021-09-26,489,38,352,138.9204545,100,2021-09-25
2021-09-19,441,37,325.3333333,135.5532787,100,2021-09-18
2021-09-12,394,36,328.6666667,119.8782961,100,2021-09-11
2021-09-05,496,35,328.3333333,151.0659899,100,2021-09-04
2021-08-29,552,34,340.6666667,162.035225,100,2021-08-28
2021-08-22,549,33,364.6666667,150.5484461,100,2021-08-21
2021-08-15,588,32,387,151.9379845,100,2021-08-14
2021-08-08,598,31,404,148.019802,100,2021-08-07
2021-08-01,589,30,433.6666667,135.8186011,100,2021-07-31
2021-07-25,626,29,448,139.7321429,100,2021-07-24
2021-07-18,641,28,429.3333333,149.3012422,100,2021-07-17
2021-07-11,589,27,426.3333333,138.1548085,100,2021-07-10
2021-07-04,674,26,423.6666667,159.0873328,100,2021-07-03
2021-06-27,664,25,449.6666667,147.664937,100,2021-06-26
2021-06-20,690,24,427,161.5925059,100,2021-06-19
2021-06-13,730,23,417.6666667,174.7805267,100,2021-06-12
2021-06-06,677,22,412.3333333,164.1875505,100,2021-06-05
2021-05-30,752,21,422.3333333,178.0584057,100,2021-05-29
2021-05-23,755,20,440.6666667,171.3313162,100,2021-05-22
2021-05-16,802,19,467,171.7344754,100,2021-05-15
2021-05-09,790,18,469,168.4434968,100,2021-05-08
2021-05-02,742,17,458,162.0087336,100,2021-05-01
2021-04-25,726,16,446.6666667,162.5373134,100,2021-04-24
