iso_week,three_week_2019_rolling_average
1,249.6666667
2,287.3333333
3,292.6666667
4,328.3333333
5,335
6,368.3333333
7,366.3333333
8,371
9,378
10,400.6666667
11,426
12,431.3333333
13,441.6666667
14,450.6666667
15,452.6666667
16,446.6666667
17,458
18,469
19,467
20,440.6666667
21,422.3333333
22,412.3333333
23,417.6666667
24,427
25,449.6666667
26,423.6666667
27,426.3333333
28,429.3333333
29,448
30,433.6666667
31,404
32,387
33,364.6666667
34,340.6666667
35,328.3333333
36,328.6666667
37,325.3333333
38,352
39,361.3333333
40,370
41,361
42,377.3333333
43,407.6666667
44,429
45,428
46,423
47,367.6666667
48,351.3333333
49,339.6666667
50,370.3333333
51,317.3333333
52,271.75
53,224.5
