Week of Year,Week Ending,10-yr Median Model,Rental Inventory,Indexed to January Average,Difference,Rental Inventory Index Original,Rental Inventory Index
36,2022-09-10,1.0496,16015,0.9036658997152417,0.1390378242042286,87.79339708921736,87.79339708921736
35,2022-09-03,1.0496,15166,0.8577287041723429,0.1828042071528746,84.5448463873068,84.5448463873068
34,2022-08-27,1.1728,15768,0.8938222411639547,0.23787325958052985,80.78371450877479,80.78371450877479
33,2022-08-20,1.1728,16514,0.9382535192118822,0.19998847270473896,83.33413384763848,83.33413384763848
32,2022-08-13,1.1728,16983,0.967104580735344,0.17538831792688958,85.0782660290317,85.0782660290317
31,2022-08-06,1.1728,17102,0.9761010616530336,0.16771737580744062,85.63716021683165,85.63716021683165
30,2022-07-30,1.2042,15757,0.9013802205993896,0.251469672314076,79.90605143078803,79.90605143078803
29,2022-07-23,1.2042,15998,0.9172433060134982,0.23829654043057769,80.75610060674822,80.75610060674822
28,2022-07-16,1.2042,16389,0.9417886609558802,0.217913418903936,82.10764283227557,82.10764283227557
27,2022-07-09,1.2042,15427,0.8885101819391272,0.2621572978416149,79.22942740259683,79.22942740259683
26,2022-07-02,1.2042,14249,0.8225135046860078,0.3169627099435245,75.93229424414629,75.93229424414629
25,2022-06-25,1.1893,14479,0.8376695795277854,0.29566166692358076,77.18064256499925,77.18064256499925
24,2022-06-18,1.1893,14530,0.8425062456393174,0.29159484937415503,77.42365963169891,77.42365963169891
23,2022-06-11,1.1893,14567,0.8465425600617732,0.2882009921283333,77.62763777629337,77.62763777629337
22,2022-06-04,1.1893,13439,0.7827347703502774,0.3418525432184668,74.5238368443581,74.5238368443581
21,2022-05-28,1.1359,12636,0.7376054683915088,0.3506422498534124,74.03885078439771,74.03885078439771
20,2022-05-21,1.1359,13513,0.79055297598187,0.30402942514141207,76.685386136249,76.685386136249
19,2022-05-14,1.1359,13706,0.8036232278314613,0.2925229088551269,77.36806776490842,77.36806776490842
18,2022-05-07,1.1359,13411,0.7880673591505859,0.30621766075307155,76.55691926745743,76.55691926745743
17,2022-04-30,1.0775,12427,0.7318579254836385,0.32078150767179714,75.71274992808965,75.71274992808965
16,2022-04-23,1.0775,11660,0.6882008853838409,0.361298482242375,73.45927532019044,73.45927532019044
15,2022-04-16,1.0775,12573,0.7437203861919677,0.3097722633949256,76.34915076060652,76.34915076060652
14,2022-04-09,1.0775,13518,0.8013739396505505,0.25626548524310855,79.60100884300607,79.60100884300607
13,2022-04-02,1.0775,13107,0.7787104321312948,0.27729890289438996,78.29021051642462,78.29021051642462
12,2022-03-26,1.0659,12781,0.7610012590939287,0.28604816671927136,77.75758528166293,77.75758528166293
11,2022-03-19,1.0659,12856,0.767135688,0.280293003,78.10712061,78.10712061
10,2022-03-12,1.0659,13393,0.800917752,0.248599538,80.08973009,80.08973009
9,2022-03-05,1.0659,13451,0.806132267,0.243707414,80.40476311,80.40476311
8,2022-02-26,0.9811,12458,0.748237901,0.237347976,80.81800912,80.81800912
7,2022-02-19,0.9811,12794,0.770079102,0.215086023,82.29869991,82.29869991
6,2022-02-12,0.9811,12728,0.767758713,0.217451113,82.13882179,82.13882179
5,2022-02-05,0.9811,13163,0.795706769,0.188964663,84.10678898,84.10678898
4,2022-01-29,0.9891,12202,0.739197984,0.252655966,79.83037858,79.83037858
3,2022-01-22,0.9891,12775,0.775568657,0.215884484,82.24465508,82.24465508
2,2022-01-15,0.9891,13167,0.801076107,0.190095939,84.02683912,84.02683912
1,2022-01-08,0.9891,13277,0.80949193,0.181587373,84.63191322,84.63191322
52,2022-01-01,0.9891,11378,0.618386278,0.374799031,72.73790403,72.73790403
51,2021-12-25,0.881,11936,0.65026257,0.261904007,79.24533044,79.24533044
50,2021-12-18,0.881,13570,0.741042915,0.158861617,86.29158005,86.29158005
49,2021-12-11,0.881,14403,0.788401759,0.105105836,90.48907063,90.48907063
48,2021-12-04,0.881,14142,0.775950695,0.119238712,89.34644499,89.34644499
47,2021-11-27,0.9774,13016,0.715858312,0.267589204,78.88991143,78.88991143
46,2021-11-20,0.9774,14463,0.797318311,0.18424564,84.44194057,84.44194057
45,2021-11-13,0.9774,15384,0.850088292,0.130255482,88.47557176,88.47557176
44,2021-11-06,0.9774,15489,0.857900969,0.122262156,89.10574013,89.10574013
43,2021-10-30,1.0406,14655,0.813609912,0.218133853,82.09278458,82.09278458
42,2021-10-23,1.0406,15574,0.866652181,0.16716108,85.67797689,85.67797689
41,2021-10-16,1.0406,15910,0.887414939,0.1472084,87.16812048,87.16812048
40,2021-10-09,1.0406,16455,0.919949489,0.115943216,89.61029428,89.61029428
