isoweek,nyc_total_2019_rolling_avg,man_2019_rolling_avg,bk_2019_rolling_avg,qn_2019_rolling_avg
1,249.6666667,115.3,78.7,40
2,287.3333333,127.7,88.7,49
3,292.6666667,129.3,85.3,55.7
4,328.3333333,145.7,97.7,64
5,335,159.7,97.7,59.7
6,368.3333333,181.7,111,54.3
7,366.3333333,182.3,102.7,58.3
8,371,181.3,102.3,66.3
9,378,184,103.3,70.7
10,400.6666667,198,112,70.3
11,426,206.3,121.3,73.3
12,431.3333333,205.3,126.7,75
13,441.6666667,208,129.7,77.3
14,450.6666667,218.3,127,82.7
15,452.6666667,217,132.7,81.3
16,446.6666667,222.7,128,77.3
17,458,231,137,68
18,469,232.7,134,76.3
19,467,224,139.7,77.7
20,440.6666667,205,134.7,78
21,422.3333333,203,126.3,71.3
22,412.3333333,194.3,124.7,71.3
23,417.6666667,193.7,130.3,73.3
24,427,197,130.7,77
25,449.6666667,205.3,139.7,81
26,423.6666667,188.7,134,73.7
27,426.3333333,183,139.7,77.3
28,429.3333333,195,137.7,73
29,448,204,139,82.3
30,433.6666667,203,131.3,78.3
31,404,176,115.3,87
32,387,165.3,112.7,84.7
33,364.6666667,155.3,106,79.7
34,340.6666667,148.7,104.7,66.7
35,328.3333333,147,95.7,65
36,328.6666667,136.3,100,72
37,325.3333333,127,101.3,79
38,352,136.7,109.3,82.3
39,361.3333333,148.3,115,73.7
40,370,158,119.3,68
41,361,156,122.7,63
42,377.3333333,164,126.7,66
43,407.6666667,180.7,136,65.3
44,429,187.3,143.7,68.7
45,428,189.7,141,68.3
46,423,189,135.3,72.3
47,367.6666667,175.3,110.7,62.3
48,351.3333333,162.3,111.3,58
49,339.6666667,158,110.7,55
50,370.3333333,176.3,120.3,56
51,317.3333333,157.3,99.3,48.3
52,271.75,138,86.7,43.7
53,224.5,126.65,82.7,41.85
